,name,classes,samples_per_class,samples_total,dimensionality,dr_name,dr_learning,dr_transformation,dr_structure,clf_name,clf_accuracy,clf_kappa,clf_balanced_accuracy
59,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDA,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.9789473684210527,0.9531172890278006,0.9742442431518061
60,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDA,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.9649122807017544,0.9233582531060076,0.9684055440357962
61,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDA,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9789473684210527,0.9531172890278006,0.9742442431518061
62,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDA,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,0.9824561403508771,0.9610261740010393,0.9793462839681326
63,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDA,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.9824561403508771,0.9610261740010393,0.9793462839681326
64,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDA,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9649122807017544,0.9233582531060076,0.9684055440357962
65,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,KNN,0.9368421052631579,0.8593518670834018,0.9275892175051839
66,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,SMV,0.9403508771929825,0.8668407310704961,0.9302630142966277
67,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.9333333333333333,0.8511749347258486,0.9224871766888574
68,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.9333333333333333,0.8533275549175221,0.9297719087635055
69,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9333333333333333,0.8511749347258486,0.9224871766888574
70,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,0.9578947368421052,0.9066899487067555,0.9533449743533777
71,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.9403508771929825,0.8668407310704961,0.9302630142966277
72,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9543859649122807,0.9001266948809876,0.9555276656116992
73,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,KNN,0.9403508771929825,0.8674889916035337,0.9326912583215105
74,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,SMV,0.9368421052631579,0.858662111527441,0.9251609734803012
75,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.9438596491228071,0.8755865982756739,0.937793299137837
